[2026-01-18 22:10:23] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 22:10:24] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:10:26] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:10:28] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:10:29] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:10:31] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 22:11:03] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 22:11:05] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:11:06] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:11:08] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:11:10] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:11:12] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 22:11:44] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 22:11:45] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:11:47] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:11:49] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:11:51] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:11:52] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 22:12:24] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 22:12:26] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:12:27] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:12:29] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:12:31] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:12:33] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 22:13:04] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 22:13:06] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:13:08] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:13:09] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:13:11] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:13:13] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 22:13:45] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 22:13:47] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:13:48] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:13:50] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:13:51] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 22:13:53] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 22:15:34] ALERT: Anomaly detected | Reasons: General anomaly
